1,Köttur,Cat,Snail,Pig,1,1,
6,Kjóll,Dress,Skirt,Shorts,2,1,
4,Bolur,Shirt,Pants,Sweater,2,1,
5,Buxur,Pants,Shirt,Dress,2,1,
2,Hundur,Dog,Horse,Sheep,1,1,
3,Kind,Sheep,Cat,Mouse,1,1,
7,Hestur,Horse,Cat,Cow,1,1,
8,Kýr,Cow,Dog,Cat,1,1,
9,Fiskur,Fish,Sheep,Horse,1,1,
10,Kanína,Rabbit,Horse,Sheep,1,1,
11,Jakki,Jacket,Pants,Sweater,2,1,
12,Peysa,Sweater,Shirt,Pants,2,1,
13,Sokkar,Socks,Pants,Dress,2,1,
15,Fíll,Elephant,Fish,Sheep,1,1,
16,Örn,Eagle,Elephant,Cow,1,1,
17,Geit,Goat,Cow,Goose,1,1,
18,Önd,Duck,Eagle,Dog,1,1,
19,Mörgæs,Penguin,Goose,Duck,1,1,
20,Svín,Pig,Elephant,Sheep,1,1,
21,Fugl,Bird,Fish,Fox,1,1,
22,Hákarl,Shark,Fish,Horse,1,1,
23,Mús,Mouse,Cow,Pig,1,1,
24,Skjaldbaka,Turtle,Shark,Elephant,1,1,
25,Dog,Hundur,Hestur,Kú,1,3,https://res.cloudinary.com/aosg26/image/upload/dog_img.jpg
26,Mouse,Mús,Mörgæs,Fugl,1,3,https://res.cloudinary.com/aosg26/mouse_img.jpg
27,Duck,Önd,Hákarl,Hundur,1,3,https://res.cloudinary.com/aosg26/duck_img.jpg
28,Penguin,Mörgæs,Mús,Svín,1,3,https://res.cloudinary.com/aosg26/penguin_img.jpg
29,Goat,Geit,Kind,Kýr,1,3,https://res.cloudinary.com/aosg26/goat_img.jpg
30,Elephant,Fíll,Hundur,Köttur,1,3,https://res.cloudinary.com/aosg26/elephant_img.jpg
31,Pig,Svín,Mörgæs,Kind,1,3,https://res.cloudinary.com/aosg26/pig_img.jpg
32,Rabbit,Kanína,Mús,Önd,1,3,https://res.cloudinary.com/aosg26/rabbit_img.jpg
33,Sheep,Kind,Köttur,Geit,1,3,https://res.cloudinary.com/aosg26/sheep_img.jpg
34,Cat,Köttur,Hundur,Mús,1,3,https://res.cloudinary.com/aosg26/cat_img.jpg
